a,movieId,title,genres,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,count
293,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3280
352,356,Forrest Gump (1994),Comedy|Drama|Romance|War,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3255
587,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3080
315,318,"Shawshank Redemption, The (1994)",Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3059
476,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3043
108,110,Braveheart (1995),Action|Drama|War,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2647
257,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2599
583,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2554
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2526
453,457,"Fugitive, The (1993)",Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2444
523,527,Schindler's List (1993),Drama|War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2431
2486,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2406
148,150,Apollo 13 (1995),Adventure|Drama|IMAX,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2350
767,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2333
1184,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2319
586,592,Batman (1989),Action|Crime|Thriller,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2318
376,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2220
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2205
2772,2858,American Beauty (1999),Comedy|Drama,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2182
584,590,Dances with Wolves (1990),Adventure|Drama|Western,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2170
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2170
1171,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2133
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2132
602,608,Fargo (1996),Comedy|Crime|Drama|Thriller,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2114
582,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2100
1173,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092
1242,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022
373,377,Speed (1994),Action|Romance|Thriller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1994
640,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1949
843,858,"Godfather, The (1972)",Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1940
